timestamp,writer,seq,session_id,elapsed_seconds,event_type,launch_address,oracle_price_usd,oracle_shock_pct,shock_path_id,launch_spot_eth,launch_spot_eth_wei,listing_spot_eth,listing_spot_eth_wei,price_after_creator_buy_eth,price_after_creator_buy_eth_wei,creator_buy_eth,creator_buy_impact_pct,route_side,route_eth,route_usdg,route_price_usd,route_pnl_usd,leverage_before,leverage_after,netted_from,netted_to,netted_usd,redeem_kind,redeem_shares,redeem_usdg_out,redeem_weth_out,redeem_peeled_pools,error_action,error_message,error_code,error_tx_hash
2026-09-02T17:16:50.392Z,ui,1,1788369410392-1kqp1f,0,SESSION_START,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02T17:17:23.668Z,ui,3,1788369410392-1kqp1f,33,LAUNCH,0xbE2c683b28a76aF4b719271f7c14024d3830cD0D,,,,0.000000002156249999,2156249999,0.000000034500000000,34500000000,0.000000002285900225,2285900225,0.0690,6.0100,,,,,,,,,,,,,,,,,,,
2026-09-02T17:17:37.662Z,ui,4,1788369410392-1kqp1f,47,ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,launch bot create,"transaction execution reverted | transaction execution reverted (action=""sendTransaction"", data=null, reason=null, invocation=null, revert=null, transaction={ ""data"": """", ""from"": ""0x616E873C8Ff0D0ed0bbc74B68161AE3988A7B109"", ""to"": ""0x94fFA1C7330845646CE9128450F8e6c3B5e44F86"" }, receipt={ ""_type"": ""TransactionReceipt"", ""blobGasPrice"": ""1"", ""blobGasUsed"": null, ""blockHash"": ""0xde3cfa819803c67f462b29",CALL_EXCEPTION,0xa801cdf44d6d7cd3f42a117cb0140c6fff27d1e10b6b2914a1a4a893e9aae63d
2026-09-02T17:17:53.662Z,ui,8,1788369410392-1kqp1f,63,ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,launch bot create,"transaction execution reverted | transaction execution reverted (action=""sendTransaction"", data=null, reason=null, invocation=null, revert=null, transaction={ ""data"": """", ""from"": ""0x5F4daefc7bE163a4080a81F29Ad3C3f0927D9265"", ""to"": ""0x94fFA1C7330845646CE9128450F8e6c3B5e44F86"" }, receipt={ ""_type"": ""TransactionReceipt"", ""blobGasPrice"": ""1"", ""blobGasUsed"": null, ""blockHash"": ""0xd3d6c50721cb9489f142ca",CALL_EXCEPTION,0x44ab4bca8caa3ee54ec8f981fba71063b606a28b8fbd3e366fa57de60c5d5f6a
2026-09-02T17:19:42.666Z,ui,9,1788369410392-1kqp1f,172,ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,launch bot create,"transaction execution reverted | transaction execution reverted (action=""sendTransaction"", data=null, reason=null, invocation=null, revert=null, transaction={ ""data"": """", ""from"": ""0xB463309dE21a028750943cF479C9cc000DFA8AC0"", ""to"": ""0x94fFA1C7330845646CE9128450F8e6c3B5e44F86"" }, receipt={ ""_type"": ""TransactionReceipt"", ""blobGasPrice"": ""1"", ""blobGasUsed"": null, ""blockHash"": ""0x715a43ded7584931a0e197",CALL_EXCEPTION,0xdb425c85bb78a71427821e1456713bde067deab6f5cb711d7ae3a35be83408d1
2026-09-02T17:22:58.675Z,ui,11,1788369410392-1kqp1f,368,ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,launch bot create,"transaction execution reverted | transaction execution reverted (action=""sendTransaction"", data=null, reason=null, invocation=null, revert=null, transaction={ ""data"": """", ""from"": ""0xf965494E7eA9e235FEC634C347f82ec62A937FF2"", ""to"": ""0x94fFA1C7330845646CE9128450F8e6c3B5e44F86"" }, receipt={ ""_type"": ""TransactionReceipt"", ""blobGasPrice"": ""1"", ""blobGasUsed"": null, ""blockHash"": ""0x84fc94d666d0b53805982c",CALL_EXCEPTION,0x090e4c8009818c96bde3712d566179e9288d076a4e1b0a3a9c656d808f50ea66
2026-09-02T17:23:12.672Z,ui,12,1788369410392-1kqp1f,382,REDEEM,,,,,,,,,,,,,,,,,,,,,,,in-kind,"1,419.150280","2,995.53",0.000000,,,,,
2026-09-02T17:23:12.673Z,ui,13,1788369410392-1kqp1f,382,REDEEM,,,,,,,,,,,,,,,,,,,,,,,in-kind,569.710967,"1,202.54",0.000000,,,,,
2026-09-02T17:34:38.060Z,ui,15,1788369410392-1kqp1f,1068,REDEEM,,,,,,,,,,,,,,,,,,,,,,,in-kind,186.896155,394.50,0.000000,,,,,
2026-09-02T17:34:38.060Z,ui,14,1788369410392-1kqp1f,1068,REDEEM,,,,,,,,,,,,,,,,,,,,,,,in-kind,801.689901,"1,692.24",0.000000,,,,,
